Year,Date,Time,Country,Area,Location,Activity,Type,Sex ,Age,Injury,Fatal (Y/N),Species ,Case Number,original order,N_Attacks,
2013,08-Oct-13,10h30,AUSTRALIA,Western Australia,"Off Poison Creek, Cape Arid",Diving for Abalone,Unprovoked,M,55,"Injuries to torso, head and face",N,White shark,2013.10.08,5602,1,
2013,Reported 02-Apr-2013,,AUSTRALIA,Western Australia,Perth,,Invalid,M,24,Disappeared. No evidence that he was taken by a shark,Y,shark involvement not confirmed,2013.04.02.R,5528,1,
2013,10-Mar-13,09h00,AUSTRALIA,Western Australia,African Reef off Geraldton,Spearfishing,Unprovoked,M,28,Laceration to left hand,N,"Bronze whaler shark, 2.5m",2013.03.10.b,5519,1,
2013,05-Jan-13,10h00,AUSTRALIA,Western Australia,Near Legendre Island,Spearfishing / Free diving,Unprovoked,M,26,Calf & shin bitten ,N,,2013.01.05,5505,1,
2013,02-Jul-13,,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Body surfing,Unprovoked,M,29,"No injury, holes in wetsuit ",N,,2013.07.02,5558,1,
2013,26-Jan-13,,AUSTRALIA,Victoria,Cape Nelson,Fishing,Boat,M,,"No injury to occupants, shark bit propeller",N,"White shark, 5m",2013.01.26,5510,1,
2013,25-Jan-13,,AUSTRALIA,Queensland,Noosa,Surfing,Unprovoked,M,,Lacerations to neck,N,,2013.01.25,5509,1,
2013,Reported 21-Jan-2013,,AUSTRALIA,Queensland,Bullcock Beach,Dragging stranded shark into deeper water,Invalid,M,62,"No injury, a 3 m blue shark merely snapped at the man.",N,,2013.01.21.R,5508,1,
2013,05-Dec-13,18h15,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,Unprovoked,M,26,"Puncture wounds to hand, laceration to leg",N," Wobbegong shark, 1.6 to 1.8m ",2013.12.05,5621,1,
2013,30-Nov-13,14h00,AUSTRALIA,New South Wales,"Riecks Point,  Campbell�s Beach, ",Body boarding,Unprovoked,M,19,FATAL,Y,"Tiger shark, 3m ",2013.11.30,5619,1,
2013,24-Oct-13,18h15,AUSTRALIA,New South Wales,South Narrabeen Beach,Surfing,Unprovoked,M,41,Injuries to right foot,N,Wobbegong shark,2013.10.24,5607,1,
2013, 25-Aug-2013,15h00,AUSTRALIA,New South Wales,Smiths,Wrangling a shark,Unprovoked,M,,Lacerations to left forearm,N,,2013.08.25,5580,1,
2013,06-Jun-13,16h00,AUSTRALIA,New South Wales,Target Beach,Surfing,Unprovoked,M,,"No injury, board damaged",N,6' shark,2013.06.06.a,5546,1,
2013,28-Apr-13,,AUSTRALIA,New South Wales,Emerald Beach,Fishing,Provoked,M,,Foot bitten by landed shark PROVOKED INCIDENT,N,"Wobbegong, 2m",2013.04.28,5537,1,
2013,21-Apr-13,14h00,AUSTRALIA,New South Wales,Crowdy Head,Fishing,Unprovoked,M,51,Puncture wounds and lacerations to both legs,N,"Grey nurse shark, 3m",2013.04.21,5535,1,
2013,31-Mar-13,,AUSTRALIA,New South Wales,Terrigal Beach,Surfing,Invalid,M,47,Never happened, it was a  hoax,N,No shark involvement,2013.03.31,5526,1
2012,19-Jun-12,,USA,South Carolina,"Myrtle Beach, Horry County",Standing,Invalid,M,16,"Laceration to foot. Injured by a stingray, not a shark",N,No shark involvement,2012.06.19,5438,1,
2012,14-Jun-12,Afternoon,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,Unprovoked,F,18,Foot & hand bitten,N,small blacktip shark?,2012.06.14.d,5435,1,
2012,14-Jun-12,Afternoon,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,Unprovoked,M,,Minor injury,N,Shark involvement not confirmed,2012.06.14.c,5434,1,
2012,14-Jun-12,Afternoon,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,Unprovoked,M,,Calf bitten,N,small blacktip shark?,2012.06.14.b,5433,1,
2012,14-Jun-12,13h20,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,Unprovoked,M,16,Laceration to right foot,N,Blacktip shark ,2012.06.14.a,5432,1,
2012,02-Jun-12,19h45,USA,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,Unprovoked,M,25,Severe laceration to foot,N,,2012.06.02.a,5427,1,
2012,13-Jan-12,,USA,Oregon,"Lincoln City, Lincoln County",Surfing,Unprovoked,M,53,"No injury, surfboard damaged",N,White shark,2012.01.13,5390,1,
2012,24-Jul-12,11h45,USA,North Carolina,"Ocean Isle, Brunswick County",,Invalid,M,12,Shark involvement unconfirmed,N,Shark involvement not confirmed,2012.07.24,5455,1,
2012,08-Jul-12,17h30,USA,North Carolina,"North Topsail Beach, Onslow County",Swimming,Unprovoked,F,43,Lacerations to right ankle and calf,N,,2012.07.08,5450,1,
2012,18-Jun-12,11h00,USA,North Carolina,"Ocean Isle, Brunswick County",Wading,Unprovoked,F,6,Numerous puncture wounds to leg ,N,,2012.06.18,5437,1,
2012,31-May-12,13h30,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Wading,Unprovoked,F,33,Foot bitten,N,"18"" to 24"" shark",2012.05.31,5426,1,
2012,30-Jul-12,15h30,USA,Massachusetts,"Ballston Beach, Truro, Cape Cod",Body surfing,Unprovoked,M,50,Lacerations to both legs below the knees,N,Thought to involve a white shark,2012.07.30.a,5456,1,
2012,05-Dec-12,13h20,USA,Hawaii,Kauai,Surfing,Unprovoked,M,60,Lacerations to left foot,N,10' shark,2012.12.05,5499,1,
2012,30-Nov-12,09h40,USA,Hawaii,"Kihei, Maui",Snorkeling,Unprovoked,M,61,Lacerations to thigh & lower left leg,N,"Tiger shark, 10'",2012.11.30,5496,1,
2012,04-Nov-12,08h30,USA,Hawaii,"Makena Landing, Maui",Diving,Unprovoked,M,30,Right lower leg and foot bitten,N,"Tiger shark, 15'",2012.11.04.b,5492,1,
2012,04-Nov-12,08h10,USA,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i",Surfing,Unprovoked,M,43,"No injury, surfboard bitten",N,"Tiger shark, 8'",2012.11.04.a,5491,1,
2012,27-Oct-12,15h56,USA,Hawaii,"Makena Landing, Maui",Swimming,Unprovoked,F,51,"Puncture wounds to thigh, defense wounds  to hand",N,"Tiger shark, 10' to 12' ",2012.10.27,5489,1,
2012,18-Oct-12,07h30,USA,Hawaii,"Kanaha Beach, Maui",Paddle boarding,Unprovoked,M,55,"No injury, board bitten",N,6' to 8' shark,2012.10.18.a,5485,1,
2012,02-Sep-12,12h00,USA,Hawaii,"Spreckelsville, Maui",Spearfishing,Provoked,,,Minor laceration to hand  PROVOKED INCIDENT,N,"Tiger shark, 10' to 12' ",2012.09.02.b,5469,1,
2012,30-Jul-12,16h35,USA,Hawaii,"Maha�ulepu Beach, Kauai",Surfing,Unprovoked,M,44,Left foot bitten,N,,2012.07.30.b,5457,1,
2012,26-Jun-12,09h45,USA,Hawaii,"Kahana Beach, Maui",Sitting in the water,Unprovoked,F,16,Laceration to left calf,N,a small reef shark,2012.06.26.a,5442,1,
2012,20-May-12,Morning,USA,Hawaii,"Iroquiois Point, Oahu",Kayak Fishing,Unprovoked,M,,"No injury, teethmarks in kayak",N,"Tiger shark, 8' to 9' ",2012.05.20,5423,1,
2012,03-Apr-12,12h38,USA,Hawaii,"Leftovers near Chun's Reef, Oahu",Surfing,Unprovoked,M,28,Lacerations to left foot,N,"Tiger shark, 10'  ",2012.04.03,5415,1,
2012,27-Jan-12,11h05,USA,Hawaii,Lanai,Snorkeling,Unprovoked,,,"No injury, shark bit swim fin",N,6' to 8' shark,2012.01.27,5395,1,
2012,31-Dec-12,14h00,USA,Florida,"Jensen Beach, Martin County ",Swimming,Unprovoked,M,,Lower leg or ankle bitten,N,,2012.12.31,5504,1,
2012,19-Nov-12,17h30,USA,Florida,"Melbourne Beach, Brevard County",Surfing,Unprovoked,M,14,Minor lacerations to left foot & heel,N,2' to 3' shark,2012.11.19,5493,1,
2012,19-Oct-12,,USA,Florida,"Seaport, Brevard County",,Unprovoked,F,35,Left calf bitten,N,,2012.10.19,5487,1,
2012,18-Oct-12,10h30,USA,Florida,"Ponce Inlet, Volusia County",Surfing,Unprovoked,M,24,Minor bite to ankle,N,,2012.10.18.b,5486,1,
2012,16-Oct-12,17h00,USA,Florida,Hobe Sound,,Invalid,M,,Laceration to toe,N,Shark involvement not confirmed,2012.10.16,5484,1,
2012,25-Sep-12,16h30,USA,Florida,"Melbourne Beach, Brevard County",Surfing,Unprovoked,M,21,Lacerations to left forearm,N,5' shark,2012.09.25,5480,1,
2012,24-Sep-12,Afternoon,USA,Florida,"Spanish House Beach, Brevard County",Surfing,Unprovoked,M,22,Left foot bitten,N,4' shark,2012.09.24,5479,1,
2012,16-Sep-12,15h00,USA,Florida," Cocoa Beach, Brevard  County",Surfing,Unprovoked,M,52,Foot bitten,N,,2012.09.16,5478,1,
2012,09-Sep-12,14h20,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,,19,Minor injury to elbow,N,,2012.09.09,5476,1,
2012,08-Sep-12,12h00,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Surfing,Unprovoked,M,25,Right foot bitten,N,,2012.09.08.b,5475,1,
2012,08-Sep-12,Afternoon,USA,Florida,"South Beach, Miami-Dade County",Swimming,Unprovoked,M,,Lacerations to right calf,N,,2012.09.08.a,5474,1,
2012,06-Sep-12,Just before noon,USA,Florida,"Neptune Beach, Duval County",Surfing,Unprovoked,M,30s,Right calf bitten,N,,2012.09.06.b,5473,1,
2012,06-Sep-12,11h30,USA,Florida,"St. Augustine Beach, St. John's County",Surfing,Unprovoked,M,37,Lacerations to foot,N,,2012.09.06.a,5472,1,
2012,04-Sep-12,07h56,USA,Florida,"Melbourne Beach, Brevard County",Surfing,Unprovoked,M,32,Puncture wounds to hand,N,,2012.09.04,5471,1,
2012,02-Sep-12,18h30,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,Unprovoked,F,8,Puncture wounds to calf and hand,N,3.5' to 4' shark,2012.09.02.b,5470,1,
2012,02-Sep-12,16h30,USA,Florida,"New Smyrna Beach, Volusia County",Swimming or boogie boarding,Unprovoked,F,56,Puncture wound to left ankle,N,3.5' to 4' shark,2012.09.02.a,5468,1,
2012,08-Aug-12,1600,USA,Florida,Key Largo,Free diving ,Unprovoked,M,56,Lacerations to little finger of left hand,N,"Lemon shark, 4' to 5' ",2012.08.09,5462,1,
2012,26-Jun-12,19h00,USA,Florida,"Juno Beach, Palm Beach County",Swimming,Unprovoked,M,6,Thigh bitten,N,possibly a bull shark,2012.06.26.c,5444,1,
2012,26-Jun-12,15h00,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,M,26,Nip to left foot,N,,2012.06.26.b,5443,1,
2012,22-Jun-12,16h30,USA,Florida,"Bathtub Reef  Beach, Stuart, Martin County",Swimming,Unprovoked,M,12,Minor injury,N,,2012.06.22.a,5440,1,
2012,15-Jun-12,14h20,USA,Florida,"Summerland Key, Monroe County",Fishing,Provoked,M,23,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,N,Nurse shark,2012.06.15,5436,1,
2012,02-Jun-12,,USA,Florida,"Bethune Beach, Volusia County",Surfing,Unprovoked,F,12,Laceration to thigh,N,,2012.06.02.b,5428,1,
2012,23-May-12,15h00,USA,Florida,"Jacksonville, Duval County",Surfing,Unprovoked,M,22,Lacerations to foot,N,4' to 5' shark,2012.05.23,5424,1,
2012,09-May-12,11h30,USA,Florida,"Vero Beach, Indian River County",Swimming,Unprovoked,F,47,Upper left thigh bitten,N,,2012.05.09,5420,1,
2012,19-Apr-12,19h28,USA,Florida,"Indialantic, Brevard County",Surfing,Unprovoked,M,28,Lacerations to hand,N,5' shark,2012.04.19.b,5418,1,
2012,Apr-13,,USA,Florida,"Sanibel Island, Lee County",,Unprovoked,M,,Right shin bitten,N,a small shark,2012.04.00,5414,1,
2012,24-Mar-12,14h00,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,M,21,Minor lacerations to foot,N,,2012.03.24,5412,1,
2012,15-Mar-12,15h50,USA,Florida,"Jensen Beach, Martin County ",Surfing,Unprovoked,M,61,Left forearm bitten,N,Possibly a 5' to 6' bull shark,2012.03.15,5409,1,
2012,14-Mar-12,16h00,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,F,15,Bitten on ankle,N,4' to 5' shark,2012.03.14.b,5408,1,
2012,14-Mar-12,16h05,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,M,17,Bitten on calf,N,4' to 5' shark,2012.03.14.a,5407,1,
2012,04-Mar-12,13h00,USA,Florida,"Playalinda Beach, Brevard County",Kite Surfing,Unprovoked,M,19,Lacerations to left calf,N,4' shark,2012.03.04,5403,1,
2012,26-Feb-12,14h00,USA,Florida,"Palm Beach Inlet, Palm Beach County",Kite Surfing,Provoked,M,,Laceration to right foot when he struck a shark PROVOKED INCIDENT,N,Spinner shark,2012.02.26,5400,1,
2012,30-Oct-12,12h00,USA,California,"Humboldt Bay, Eureka, Humboldt County",Surfing,Unprovoked,M,25,Multiple lacerations to torso,N,White shark,2012.10.30,5490,1,
2012,23-Oct-12,11h00,USA,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,Unprovoked,M,39,FATAL,Y,"White shark, 15' to 16' ",2012.10.23,5488,1,
2012,10-Oct-12,18h30,USA,California,"Davenport Landing, Santa Cruz County",Windsurfing,Unprovoked,M,42,"No ijnury to boardrider, shark struck board breaking the mast",N,,2012.10.07,5482,1,
2012,31-Jul-12,06h45,USA,California,"Topanga Beach, Los Angeles County",Surfing,Unprovoked,M,17,"No injury, surfer knocked off board when shark struck surfboard",N,,2012.07.31.b,5459,1,
2012,07-Jul-12,08h30,USA,California,"Pleasure Point, Santa Cruz County",Kayaking,Unprovoked,M,52,"No injury, kayak bitten",N,14' to 18'shark,2012.07.07.a,5447,1,
2012,12-May-12,14h30,USA,California,"Leffingwell Landing, Cambria,  San Luis Obispo County",Kayaking / Fishing,Unprovoked,M,30,"No injury, kayaker fell in the water when kayak bitten by a shark",N,White shark,2012.05.12,5421,1,
2012,06-May-12,07h20,USA,California,Off Catalina Island,Paddle boarding,Unprovoked,F,15,"No injury, shark bit paddleboard",N,White shark,2012.05.06,5419,1,
2012,15-Aug-12,,USA,Alabama,"Gulf Shores, Baldwin County",Wading or swimming,Unprovoked,M,31,Lacerations to leg,N,,2012.08.15,5464,1,
2012,21-Jul-12,,TRINIDAD & TOBAGO,Trinidad,"Off Radix Village, Mayoro County",Swimming,Invalid,M,24,Probable drowning with post-mortem bite,Y,,2012.07.21,5453,1,
2012,10-Sep-12,,TONGA,Vava'u,Eueiki Island,Swimming,Unprovoked,F,29,Injuries to thighs & buttocks,N,Possibly a 3 m bull shark,2012.09.10,5477,1,
2012,18-Jan-12,,TAIWAN,Taitung ,Taimali,Fishing,Provoked,M,24,Bitten on left thigh     PROVOKED ACCIDENT,N,"Blue shark, 70-kg blue shark",2012.01.18.b,5393,1,
2012,06-Jul-12,16h30,SOUTH AFRICA,Western Cape Province,"Sandstrand, Jongensfontein",Surfing,Unprovoked,M,29,Lacerattions to left thigh & knee,N,15' shark,2012.07.06,5446,1,
2012,19-Apr-12,12h30,SOUTH AFRICA,Western Cape Province,Caves near Kogel Bay,Body boarding,Unprovoked,M,20,FATAL,Y,"White shark, 4 m to 5m ",2012.04.19.a,5417,1,
2012,20-Feb-12,,SOUTH AFRICA,Western Cape Province,Strandfontein,Fishing,Boat,,,"No injury to occupants, boat damaged",N,"White shark, 7m",2012.02.20,5398,1,
2012,25-Dec-12,,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Swimming,Unprovoked,M,20,FATAL,Y,Tiger shark,2012.12.25,5501,1,
2012,15-Jan-12,15h40,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Swimming,Unprovoked,M,25,FATAL,Y,Thought to involve a bull shark,2012.01.15,5391,1,
2012,31-Aug-12,,SCOTLAND,Inner Hebrides,Off the Isle of Islay,Shark fishing,Provoked,M,53,"No injury, shoe bitten by hooked and landed shark PROVOKED INCIDENT",N,"Porbeagle shark, 7'",2012.08.31,5467,1,
2012,03-Mar-12,,SAUDI ARABIA,Tabuk Province,Off Duba,Attempting to Kite surf from Egypt to Saudi Arabia,Invalid,M,42,Harassed by sharks but not injured by them,N,,2012.03.03,5402,1,
2012,23-Jul-12,16h30,REUNION,Trois-Bassins,,Surfing,Unprovoked,M,22,FATAL,Y,,2012.07.23,5454,1,
2012,05-Mar-12,14h30,REUNION,Saint-Benoit,Port de la�Marine,Body boarding,Unprovoked,M,31,"No injury, board bitten",N,,2012.03.05,5404,1,
2012,06-Aug-12,17h17,REUNION,Saint Leu,,Surfing,Unprovoked,M,39,Right hand and foot severed,N,Bull shark,2012.08.05,5461,1,
2012,Reported 11-Oct-2012,,NIGERIA,Delta,Oboro,Bathing,Unprovoked,F,38,Laceration to right leg,N,,2012.10.11.R,5483,1,
2012,Dec-12,,NEW ZEALAND,South Island,"Sunday Cove, Fiordland",Scuba diving,Unprovoked,F,25,"No injury, shark grabbed hood",N,Seven-gill shark,2012.12.00,5497,1,
2012,06-Mar-12,19h00,NEW ZEALAND,North Island,"Opunake, Taranake",Surfing,Unprovoked,M,,Lacerations to left calf,N,,2012.03.06.b,5406,1,
2012,22-Nov-12,11h40,MEXICO,Sinaloa,Nuevo Altata,Swimming,Unprovoked,M,32,FATAL,Y,2.5 m shark,2012.11.22,5494,1,
2012,29-May-12,09h00,MEXICO,Guerrero," Boca de la Le�a, La Uni�n",Free diving / spearfishing,Unprovoked,M,46,Left hand severed,N,"Bull shark, 3m",2012.05.29,5425,1,
2012,10-Jun-12,Morning,ITALY,Sardinia,Muravera,Attempting to rescue an injured & beached shark,Provoked,M,57,Lower left leg injured PROVOKED ACCIDENT,N,"Blue shark, 2.5m",2012.06.10,5430,1,
2012,04-Aug-12,,FRENCH POLYNESIA,Tuamotus,Kaukura Atoll,Spearfishing,Unprovoked,M,,Shoulder bitten,N,"Lemon shark, 2.5m to 3m ",2012.08.04,5460,1,
2012,16-May-12,,FIJI,,Matacucu Reef ,Spearfishing,Unprovoked,M,20,Lacerations to head,N,,2012.05.16,5422,1,
2012,Reported 28-Jun-2012,,CROATIA,,Buccari Bay,Swimming,Invalid,,60,"Leg struck. Initally reported as a shark attack, but involved a swordfish",N,No shark involvement,2012.06.28.R,5445,1,
2012,01-Mar-12,,CHILE,Antofagasta Province,Antofagasta,Fishing (illegally),Provoked,M,,Hand injured PROVOKED INCIDENT,N,,2012.03.01,5401,1,
2012,19-Jul-12,,CANADA,British Colombia,"Tofino, Vancouver",Surfing,Invalid,F,23,"Lacerations to 2 fingers, but shark involvement unconfirmed",N,"Salmon shark suspected, but unlikely",2012.07.19,5452,1,
2012,26-Aug-12,Afternoon,BRAZIL,Pernambuco,"Coral Cove, Cabo de Santo Agostinho",Swimming,Unprovoked,M,18,FATAL,Y,,2012.08.26,5465,1,
2012,07-Jul-12,,BAHAMAS,Eleuthera,,Spearfishing,Unprovoked,M,,Lacerations to right leg,N,,2012.07.07.c,5449,1,
2012,Reported 22-Jan-2012,,BAHAMAS,,Cat Island,"Diving, photographing sharks",Unprovoked,M,,"No injury, shark grabbed his camera",N,Tiger shark,2012.01.22.R,5396,1,
2012,19-Dec-12,830,AUSTRALIA,Western Australia,Trigg Beach,Surfing,Unprovoked,M,32,No injury,N,"Tiger shark, 6'",2012.12.19,5500,1,
2012,02-Oct-12,12h00,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",Bodyboarding,Unprovoked,M,11,"No injury, but swim fin bitten & torn",N,2m shark,2012.10.02,5481,1,
2012,28-Aug-12,15h30,AUSTRALIA,Western Australia,Red Bluff near Quobba Station,Surfing,Unprovoked,M,34,Lacerations to torso and arm,N,,2012.08.28,5466,1,
2012,11-Aug-12,12h00,AUSTRALIA,Western Australia,Ocean Reef,Fishing,Boat,,,"No injury, shark grabbed outboard motor",N,4.5 m shark,2012.08.11,5463,1,
2012,14-Jul-12,09h05,AUSTRALIA,Western Australia,Off Wedge Island,Surfing,Unprovoked,M,24,FATAL,Y,"White shark, 5m",2012.07.14,5451,1,
2012,20-Jun-12,07h15,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",Surf skiing ,Unprovoked,M,62,"No injury, ski severely damaged",N,3 m shark,2012.06.20,5439,1,
2012,31-Mar-12,09h30,AUSTRALIA,Western Australia,Stratham Beach,Scuba diving,Unprovoked,M,33,FATAL,Y,"White shark, 4m ",2012.03.31,5413,1,
2012,22-Mar-12,05h50,AUSTRALIA,Western Australia,Kalbarri,Crayfishing,Boat,,,"No injury to occupants. Shark bit propelle, rope & crayfish float",N,White shark,2012.03.22,5411,1,
2012,19-Jan-12,Afternoon,AUSTRALIA,Western Australia,Coral Bay,Snorkeling,Unprovoked,M,26,Lacerations to right forearm,N,"Tiger shark, 3m",2012.01.19,5394,1,
2012,07-Jul-12,15h00,AUSTRALIA,Victoria,Ship's Graveyard off Point Lonsdale,Scuba diving,Invalid,F,42,Cause of death was drowning & preceded shark involvement,Y,,2012.07.07.b,5448,1,
2012,12-Jun-12,Morning,AUSTRALIA,Victoria,Port Campbell,Surfing,Unprovoked,M,42,Laceration to right foot,N,1.5 m shark,2012.06.12,5431,1,
2012,06-Mar-12,11h30,AUSTRALIA,Victoria,"Shipwreck Cove, Melbourne Aquarium","Diving, feeding sharks",Provoked,F,34,Superficial lacerations to right side of face PROVOKED ACCIDENT,N,"Tawny nurse shark, 40cm",2012.03.06.a,5405,1,
2012,22-Jun-12,,AUSTRALIA,Tasmania,South Cape Bay,Surfing,Unprovoked,M,,"Knocked off board, shark bit nose off surfboard",N,,2012.06.22.b,5441,1,
2012,31-Jul-12,14h40,AUSTRALIA,South Australia,Streaky Bay,Surfing,Unprovoked,M,48,Lacerations to torso & arm,N,White shark or bronze whaler,2012.07.31.a,5458,1,
2012,11-Apr-12,,AUSTRALIA,South Australia,"Dolphin Bay, Innes National Park",Kayaking,Unprovoked,M,27,Minor wound to his thigh when shark bit kayak,N,"White shark, 6m ",2012.04.11,5416,1,
2012,27-Nov-12,14h50,AUSTRALIA,Queensland,Mooloolaba,,Invalid,M,20,"Injury to ankle caused  by a stingray, not a shark",N,No shark involvement,2012.11.27,5495,1,
2012,20-Mar-12,17h00,AUSTRALIA,Queensland,Nobby's Beach,Surfing,Unprovoked,M,20,Lacerations to left calf,N,Possibly a bull shark,2012.03.20,5410,1,
2012,06-Feb-12,12h00,AUSTRALIA,Queensland,Wurtulla,Surfing,Unprovoked,M,29,"No injury, but fin lost from surfboard",N,,2012.02.06,5397,1,
2012,02-Jan-12,09h00,AUSTRALIA,Queensland,Duranbah,Spearfishing,Unprovoked,M,34,"No injury, punctures to swim fin",N,Allegedly a 4 m tiger shark,2012.01.02,5388,1,
2012,30-Dec-12,12h45,AUSTRALIA,New South Wales,Between Dee Why and Long Reef,Surfing,Unprovoked,M,23,"No injury, chunk missing from surfboard",N,2.5 m shark,2012.12.30,5503,1,
2012,28-Dec-12,10h45,AUSTRALIA,New South Wales,"Kylie's Beach, Diamond Head",Paddle boarding,Unprovoked,M,29,Lacerations to thigh and hand,N,"Bull shark, 2m ",2012.12.28,5502,1,
2012,02-Dec-12,16h45,AUSTRALIA,New South Wales,Green Island,Spearfishing,Unprovoked,M,31,Minor puncture wounds to knee,N,Sandtiger shark,2012.12.02,5498,1,
2012,03-Jun-12,14h30,AUSTRALIA,New South Wales,"Redhead Beach, Newcastle",Surf skiing ,Unprovoked,M,30,"No injury, ski bitten",N,"White shark, 2 m",2012.06.03,5429,1,
2012,25-Feb-12,16h00,AUSTRALIA,New South Wales,Broughton Island,Fishing,Unprovoked,M,,Laceration to left foot,N,Grey nurse shark,2012.02.25,5399,1,
2012,18-Jan-12,16h45,AUSTRALIA,New South Wales,Redhead Beach,Surfing,Unprovoked,M,44,Lacerations to thigh,N,"White shark, 2.7 m",2012.01.18.a,5392,1,
2012,03-Jan-12,20h00,AUSTRALIA,New South Wales,North Avoca Beach,Surfing,Unprovoked,M,28,Right forearm and wrist injured,N,2 m shark,2012.01.03,5389,1,
2011,28-Aug-11,19h00,USA,Texas,"Grass Island, Aransas County",Wade Fishing,Unprovoked,F,39,"Lacerations to anterior left shin, abrasion to posteior right leg",N,,2011.08.28.a,5341,1,
2011,13-Jul-11,20h30,USA,Texas,"South Padre Island, Cameron County",Surf fishing,Unprovoked,M,,Lacerations to left foot,N,,2011.07.13.b,5320,1,
2011,07-Jul-11,17h00,USA,Texas,"Sunday Beach, Matagorda Island, Calhoun  County",Swimming,Unprovoked,M,12,Foot bitten,N,,2011.07.07.b,5318,1,
2011,07-Jul-11,,USA,Texas,"Mustang Island, Nueces County",Wade Fishing,Unprovoked,M,14,Lacerations to right foot,N,,2011.07.07.a,5317,1,
2011,30-May-11,15h00,USA,Texas,"Follett's Island, Brazoria County",Standing or boogie boardin,Unprovoked,F,22,Lacerations & punctures to right thigh ,N,,2011.05.30,5299,1,
2011,Reported 29-Mar-2011,,USA,Texas,Matagorda Beach,"Standing, holding shark pup",Provoked,M,,Minor laceration to shoulder from captive shark PROVOKED INCIDENT,N,Blacktip shark pup,2011.03.29.R,5282,1,
2011,24-Sep-11,10h00,USA,South Carolina,"North Myrtle Beach, Horry County",Jumping in the waves,Unprovoked,M,5,Laceration to left thigh,N,,2011.09.24.a,5353,1,
2011,15-Aug-11,,USA,South Carolina,"Myrtle Beach, Horry County",Playing in the surf,Invalid,M,7,Puncture wounds to foot,N,Shark involvement not confirmed,2011.08.15,5329,1,
2011,30-Sep-11,09h50,USA,Puerto Rico,Hatillo Beach,Surfing,Invalid,M,27,Lacerations to lower right leg ,N,No shark involvement,2011.09.30,5357,1,
2011,16-Aug--2011,Night,USA,Puerto Rico, Vieques,Floating ,Unprovoked,M,27,Lacerations to  lower right leg and foot,N,,2011.08.16.b,5331,1,
2011,06-Dec-11,09h00,USA,Oregon,Seaside Cove,Surfing,Unprovoked,F,,Minor injury to calf ,N,,2011.12.06,5378,1,
2011,20-Oct-11,,USA,Oregon,"Newport, Lincoln County",Surfing,Unprovoked,M,41,"No injury, shark bit surfboard",N,"White shark, 15'",2011.10.20,5365,1,
2011,10-Oct-11,,USA,Oregon,Seaside,Surfing,Unprovoked,M,,No injury,N,10' to 12' shark,2011.10.10,5362,1,
2011,24-Aug-11,,USA,North Carolina,"Buxton Beach, Dare County",Surfing,Unprovoked,M,21,Lacerations to foot,N,,2011.08.24.b,5339,1,
2011,24-Aug-11,15h30,USA,North Carolina,Holden Beach. Brunswick County,,Unprovoked,M,10,Heel bitten,N,,2011.08.24.a,5338,1,
2011,17-Aug-11,17h00,USA,North Carolina,"Kure Beach, New Hanover County",Wading,Unprovoked,F,20s,Lacerations to foot,N,Possibly a 5' to 6' sandtiger shark,2011.08.17.c.,5335,1,
2011,17-Aug-11,16h00,USA,North Carolina,"Wrightsville Beach, New Hanover County",,Invalid,M,12,Abrasions to left hand,N,Shark involvement not confirmed,2011.08.17.b.,5334,1,
2011,11-Aug--2011,14h00,USA,North Carolina,Beaufort Inlet,Swimming,Unprovoked,M,54,Lower right leg bitten,N,,2011.08.11,5328,1,
2011,19-Jul-11,17h30,USA,North Carolina,"Ocracoke Island, Hyde County",Boogie Boarding,Unprovoked,F,6,Lower right leg & foot bitten,N,,2011.07.19,5322,1,
2011,26-Jun-08,Afternoon,USA,North Carolina,"North Topsail Beach, Onslow County",Playing in the surf,Unprovoked,F,10,Ankle bitten,N,"Bull shark, 6'",2011.06.26,5311,1,
2011,25-Jul-11,Night,USA,New Jersey,"Egg Harbor, Atlantic County",Wade Fishing,Unprovoked,M,,"No injury, shark bit boot",N,,2011.07.25,5324,1,
