,Author,Title,Lyrics
48,Aretha Franklin,I Never Loved a Man (The Way I Love You) (1967),
49,Aretha Franklin,Respect (1967),"Ooh) Baby, I got\n(Ooh) What you need\n(Ooh) Do you know I got it\n(Ooh) All I'm askin'\n(Ooh) Is for a little respect when you come home\n\n(Just a little bit) Hey baby\n(Just a little bit) When you get home\n(Just a little bit) Mister\n(Just a little bit)\n\nI ain't gonna do you wrong\nWhile you're gone\nAin't gonna do you wrong\n(Ooh) Cause I don't want to\n(Ooh) All I'm askin'\n(Ooh) Is for a little respect when you come home\n\n(Just a little bit) Baby\n(Just a little bit) When you get home\n(Just a little bit) Yeah\n(Just a little bit)\n\nI'm about to give you\nAll of my money\nAnd all I'm askin'\nIn return, honey\nIs to give me my propers\nWhen you get home\n\n(Just a, just a, just a, just a) Yeah, baby\n(Just a, just a, just a, just a) When you get home\n(Just a little bit) Yeah\n(Just a little bit)\n\nOoh, your kisses\n(Ooh) Sweeter than honey\n(Ooh) And guess what\n(Ooh) So is my money\n(Ooh) All I want you to do for me\n(Ooh) Is give it to me when you get home\n\n(Re, re, re, re) Yeah, baby\n(Re, re, re, re) Whip it to me\n(Respect, just a little bit) When you get home, now\n(Just a little bit)\n\nR-E-S-P-E-C-T\nFind out what it means to me\nR-E-S-P-E-C-T\nTake care, T-C-B, oh\n\n(Sock it to me, sock it to me, sock it to me, sock it to me) A little respect\n(Sock it to me, sock it to me, sock it to me, sock it to me) Whoa, yeah\n(Just a little bit) A little respect\n(Just a little bit) I get tired\n(Just a little bit) Keep on tryin'\n(Just a little bit) You're runnin' out a fool\n(Just a little bit) And I ain't lyin'\n(Just a little bit)\n\n(Re, re, re, re) Respect when you come home\n(Re, re, re, re) Or you might walk in\n(Respect, just a little bit) And find I'm gone\n(Just a little bit)"
0,The Foo Fighters, “Walking After You”,
1,Mase feat. Total, “What You Want”,
2,Semisonic, “Closing Time”,
3,Iggy Pop and Françoise Hardy, “I’ll Be Seeing You”,
4,Foxy Brown, “Hot Spot”,
5,The Donnas, “Rock & Roll Machine”,
6,Spoon, “Metal Detektor”,
7,The Spice Girls, “Stop”,
8,Korea Girl, “Under the Sun”,
9,Willie Nelson, “Darkness on the Face of the Earth”,
10,Next, “Too Close”,"Too Close par Next\nI wonder if she could tell I'm hard right now, hmmm\n\n\nYeah, come on, dance for me baby, ha ha, yeah\n\n\nUt oh, you feel that? Alright\n\n\nCome on, don't stop now\n\n\nYou done did it, come on, uh, yeah, alright, hold on\n\n\n\n\n\nBaby when we're grinding\n\n\nI get so excited\n\n\nOoh, how I like it\n\n\nI try but I can't fight it\n\n\nOh, you're dancing real close\n\n\nCuz it's real, real slow\n\n\n(You know what you're doing, don't you)\n\n\nYou're making it hard for me\n\n\n\n\n\n\n\n\n\nAll the songs on you requested\n\n\nYou're dancing like you're naked\n\n\nOh, it's almost like we're sexing (oh yeah)\n\n\nYeah boo, I like it\n\n\nNo, I can't deny it\n\n\nBut I know you can tell\n\n\nI'm excited, oh girl\n\n\n\n\n\nStep back you're dancing kinda close\n\n\nI feel a little poke coming through\n\n\nOn you\n\n\n\n\n\nNow girl I know you felt it\n\n\nBut boo, you know I can't help it\n\n\nYou know what I wanna do\n\n\n\n\n\nBaby when we're grinding\n\n\n\n\n\n\nI get so excited\n\n\nOoh, how I like it\n\n\nI try but I can't fight it\n\n\nOh, you're dancing real close\n\n\nCuz it's real, real slow\n\n\n(You know what you're doing, don't you)\n\n\nYou're making it hard for me\n\n\n\n\n\nBaby us dancing so close\n\n\nAin't a good idea\n\n\nCuz I'mma want you now and here\n\n\nThe way that you shake it on me\n\n\nMakes me want you so bad sexually\n\n\nOh girl\n\n\n\n\n\nStep back you're dancing kinda close\n\n\nI feel a little poke coming through\n\n\nOn you\n\n\n\n\n\n\n\n\n\nNow girl I know you felt it\n\n\nBut boo, you know I can't help it\n\n\nYou know what I wanna do\n\n\n\n\n\nBaby when we're grinding\n\n\nI get so excited\n\n\nOoh, how I like it\n\n\nI try but I can't fight it\n\n\nOh, you're dancing real close\n\n\nCuz it's real, real slow\n\n\n(You know what you're doing, don't you)\n\n\nYou're making it hard for me\n\n\n\n\n\nBaby when we're grinding\n\n\nI get so excited\n\n\nOoh, how I like it\n\n\nI try but I can't fight it\n\n\n\n\n\n\nOh, you're dancing real close\n\n\nCuz it's real, real slow\n\n\n(You know what you're doing, don't you)\n\n\nYou're making it hard for me\n\n\n\n\n\nI love when you shake it like that, ah, ah, ah\n\n\nI see that you like it like that, oh, oh, oh\n\n\nI love when you shake it like that, ah, ah, ah\n\n\nI see that you like it like that, oh, oh, oh\n\n\n\n\n\nBaby when we're grinding\n\n\nI get so excited\n\n\nOoh, how I like it\n\n\nI try but I can't fight it\n\n\nOh, you're dancing real close\n\n\nCuz it's real, real slow\n\n\n(You know what you're doing, don't you)\n\n\nYou're making it hard for me\n\n\n\n\n\n\n\n\n\nI like the way you move\n\n\nYou're making me want you\n\n\nOh the way you move\n\n\nI like those things you do\n\n\nBut you're a little too close\n\n\n\n\n\nBaby when we're grinding\n\n\nI get so excited\n\n\nOoh, how I like it\n\n\nI try but I can't fight it\n\n\nOh, you're dancing real close\n\n\nCuz it's real, real slow\n\n\n(You know what you're doing, don't you)\n\n\nYou're making it hard for me"
11,The Drive-By Truckers, “The Living Bubba”,
12,Saint Etienne, “Lose That Girl”,Lose That Girl par Saint Etienne\nShe Walked Out On You Last Saturday Under The Wheels Of A Crowd On Main Street Usa Know How It Feels\n\n\n\nShe Said Cancel Everything And Like A Fool You Never See What's Happening She Dropped Out School\n\n\n\nGet Away Let Her Go Let Her Go Now Hey In Your Brain Yeah You Know Let Her Go Now\n\n\n\nI Should Have Told You To Lose That Girl I Should Have Told You That's Not Your World\n\n\n\nOn Her Radio She Turned The Disco Down Disco Down\n\n\n\nShe Thought She Looked Good In Purple Jeans From Santa Fe And She Overdosed On Magazines\n\n\n\n\n\n\n\nJust Fade To Grey
13,True Love Always, “Spring Collection”,
14,Maxwell, “Everwanting: To Want You to Want”,
15,Mono, “Life in Mono”,
16,Black Box Recorder, “It’s Only the End of the World”,
17,The Rondelles, “Safety in Numbers”,
18,Hall & Oates, “Promise Ain’t Enough”,
19,Total, “Trippin'”,"Trippin par Total\n[Missy Elliott]\n\n\nUh, Bad Boy\n\n\nBad Boy\n\n\nMy mic sounds nice\n\n\nCheck one\n\n\n(oooh)\n\n\nBad Boy\n\n\nMy mic sounds nice\n\n\nCheck two\n\n\n\n\n\nP-U-F-F\n\n\nI'ma make 'em, go deaf\n\n\nMake you say, who dat?\n\n\nThem Total bitches, bad ass\n\n\nKima Keisha and Pam, oh shit, mad bitch\n\n\nMake you crammin', oh slammin'\n\n\n\n\n\n\nDamn right, I'ma jam it\n\n\n\n\n\n[Pam]\n\n\n\n\n\nBaby\n\n\nYou sho' is bumpin'\n\n\nYou show me sumthin'\n\n\nSee I won't, trade you\n\n\nFor nothin'\n\n\nSee erything, you do to me\n\n\nYou got me trippin'\n\n\nAnd I'm satisfied\n\n\nAnd that's guranteed\n\n\n\n\n\n(Refrain)\n\n\n\n\n\nI hope you\n\n\nThat you've been checkin' me\n\n\n\n\n\n\nI know what you're talkin' bout\n\n\nYou got me trippin' on my own feet\n\n\nYou got me buggin' boy\n\n\nYou bring me so much joy\n\n\nYou got me open boy\n\n\nAnd I'ma save my - self for you\n\n\n\n\n\nI hope you\n\n\nThat you've been checkin' me\n\n\nI know what you're talkin' bout\n\n\nYou got me trippin' on my own feet\n\n\nYou got me buggin' boy\n\n\nYou bring me so much joy\n\n\nYou got me open boy\n\n\nAnd I'ma save my - self for you\n\n\n\n\n\n[Keisha]\n\n\n\n\n\n\n\n\n\nBaby yeah\n\n\nThat's one thing, I'll mention\n\n\nMe and her (la la la la la la la)\n\n\nSee she's no, competition\n\n\nSo tell her\n\n\nThat you're through with her\n\n\nAnd you're lovin' me\n\n\nAnd that's Totally\n\n\nAnd you're dedicated, to me\n\n\n\n\n\n(Refrain)\n\n\n\n\n\nI hope you\n\n\nThat you've been checkin' me\n\n\nI know what you're talkin' bout\n\n\nYou got me trippin' on my own feet\n\n\nYou got me buggin' boy\n\n\nYou bring me so much joy\n\n\n\n\n\n\nYou got me open boy\n\n\nAnd I'ma save my - self for you\n\n\n\n\n\nI hope you\n\n\nThat you've been checkin' me\n\n\nI know what you're talkin' bout\n\n\nYou got me trippin' on my own feet\n\n\nYou got me buggin' boy\n\n\nYou bring me so much joy\n\n\nYou got me open boy\n\n\nAnd I'ma save my - self for you\n\n\n\n\n\n[Keisha]\n\n\n(Mmmmmmmmmm) Baby\n\n\n(Mmm-mmmmmm) There's one thing\n\n\n(Mmmmm-mmm) I'll mention\n\n\n(Mmmmmm-mmm) Nah nah nah\n\n\n(Mmmmmm-mmm) See she's no\n\n\n\n\n\n\n(Mmmm-mmmm) Competition\n\n\n\n\n\n[Bridge - Total (Puffy) {Missy]\n\n\nI won't quit it (And we won't stop)\n\n\nTill I get it\n\n\nTill I got it\n\n\nI'll admit it\n\n\nI'm in love\n\n\n{you got me, nigga you got me\n\n\n(repeat x2)\n\n\n\n\n\n[Kima]\n\n\n\n\n\nBaby you know that\n\n\nYou got me trippin'\n\n\nYa see I'm open\n\n\nBaby I'm open\n\n\nBaby you know that\n\n\n\n\n\n\nYou got me trippin'\n\n\nYa see I'm open\n\n\nBaby I'm open\n\n\n\n\n\n(Refrain)\n\n\n\n\n\nI hope you\n\n\nThat you've been checkin' me\n\n\nI know what you're talkin' bout\n\n\nYou got me trippin' on my own feet\n\n\nYou got me buggin' boy\n\n\nYou bring me so much joy\n\n\nYou got me open boy\n\n\nAnd I'ma save my - self for you\n\n\n\n\n\n[Timbaland]\n\n\n\n\n\nThank you, thank you\n\n\n\n\n\n\n\n\n\n[Puffy]\n\n\n'98, anbd we won't stop\n\n\nNah nah nah nah, heh heh heh\n\n\nYeah yeah yeah\n\n\nMissy, Misdemeanor"
20,Savage Garden, “Truly Madly Deeply”,"Truly Madly Deeply par Savage Garden\nI'll be your dream, I'll be your wish\n\nI'll be your fantasy\n\nI'll be your hope, I'll be your love\n\nBe everything that you need I'll love you more with every breath\n\nTruly, madly, deeply do\n\nI will be strong, I will be faithful\n\n'Cause I'm counting on A new beginning, a reason for living\n\nA deeper meaning, yeah I wanna stand with you on a mountain\n\nI wanna bathe with you in the sea\n\nI wanna lay like this forever\n\nUntil the sky falls down over me And when the stars are shining brightly in the velvet sky\n\nI'll make a wish, send it to Heaven, then make you want to cry\n\n\n\n\n\nThe tears of joy for all the pleasure and the certainty\n\nThey are surrounded by the comfort and protection of The highest powers in lonely hours\n\nThe tears devour you I want to stand with you on a mountain\n\nI want to bathe with you in the sea\n\nI want to lay like this forever\n\nUntil the sky falls down over me Oh, can't you see it, baby?\n\nDon't have to close your eyes\n\n'Cause it's standing right before you\n\nAll that you need will surely come Yeah yeah yeah I'll be your dream, I'll be your wish\n\nI'll be your fantasy\n\nI'll be your hope, I'll be your love\n\nBe everything that you need I'll love you more with every breath\n\n\n\n\n\nTruly, madly, deeply do I wanna stand with you on a mountain\n\nI wanna bathe with you in the sea\n\nI want to lay like this forever\n\nUntil the sky falls down over me I wanna stand with you on a mountain\n\nI wanna bathe with you in the sea\n\nI want to live like this forever\n\nUntil the sky falls down over me Yeah yeah I'll be your dream, I'll be your wish\n\nI'll be your fantasy\n\nI'll be your hope, I'll be your love\n\nBe everything that you need I'll love you more with every breath\n\nTruly, madly, deeply do\n\nI will be strong, I will be faithful\n\n'Cause I'm counting on you"
21,Sarah McLachlan, “Sweet Surrender”,"Sweet Surrender par Sarah Mclachlan\nIt doesn't mean much\n\nIt doesn't mean anything at all\n\nThe life I've left behind me\n\nIt's a cold room\n\nI've crossed the last line\n\nFrom where I can't return\n\nWhere every step I took in faith\n\nBetrayed me\n\nAnd led me from my home\n\nAnd sweet surrender\n\nIs all that I have to give\n\nYou take me in\n\nNo questions asked\n\nYou strip away the ugliness\n\nThat surrounds me\n\nAre you an angel\n\n\n\n\n\nAm I already that gone\n\nI only hope \n\nThat I won't disappoint you\n\nWhen I'm down here\n\nOn my knees\n\nAnd sweet, sweet, sweet surrender\n\nIs all that I have to give\n\nSweet sweet sweet surrender\n\nIs all that I have to give\n\nAnd I don't understand \n\nBy the touch of your hand\n\nI would be the one to fall\n\nI miss the little things\n\nOh I miss everything\n\nIt doesn't mean much\n\nIt doesn't mean anything at all\n\nThe life I left behind me\n\nIs a cold room"
22,Master P, “Make ‘Em Say Uhh!”,"Make 'Em Say Uhh par Master P\n[Rappin 4-Tay]\n\n\nNo Limit Studios, whassup?\n\n\n[Random Caller] Who dis is? Who dis is?\n\n\n[R4T] Nigga, this Rappin 4-Tay, who is this?\n\n\nOh this is P\n\n\n[R4T] P?!\n\n\nYeah this is P!\n\n\n[R4T] P?!\n\n\n(Yeah)\n\n\n[R4T] If this P lemme hear ya say ungggggggggggh\n\n\nUngnGNGYAHAHgngnnghh\n\n\n[R4T] This ain't no motherfuckin P!\n\n\nMan, hang the phone up\n\n\n\n\n\n[Master P & No Limit]\n\n\nMake em say UNGGGGGGH (UNGGGGGGH)\n\n\n\n\n\n\nNa-nah na-nah (na-nah na-nah)\n\n\n\n\n\n[Master P]\n\n\nNigga, I'm the colonel of the motherfuckin tank\n\n\nY'all after big thangs, we after big bank\n\n\n3rd Ward hustlas, soldiers in combats\n\n\nConvicts and dealers, and killers with TRU tats\n\n\nNever gave a fuck bout no hoes on our riches\n\n\nAnd niggas come short, I'm diggin ditches\n\n\nM.P. pullin stripes, commander-in-chief\n\n\nAnd fools run up wrong, nigga I'm knockin out some teeth\n\n\nI'm down here slangin, rollin with these hustlers\n\n\nTryin to get rid of all you haters and you bustas\n\n\nSteppin on toes, break a niggas nose\n\n\nIn the projects niggas anything goes\n\n\nBreakin fools off cause I'm a No Limit soldier\n\n\nAt ease now salute, this pass me the doja\n\n\n\n\n\n\n\n\n\n[Master P & No Limit]\n\n\nMake em say UNGGGGGGH (UNGGGGGGH)\n\n\nNa-nah na-nah (na-nah na-nah)\n\n\n\n\n\n[Fiend]\n\n\nFiend exercisin his right of exorcism, bustin out the Expedition\n\n\nBullets choppin haters business to about the size of prisms our mission\n\n\nThey heard we scary, No Limit mercenary\n\n\nNo tellin how bad it get, because the worst'll vary\n\n\nI heard you make em worry, that this for the loot\n\n\nThey intimidated by the rounds that the tank shoot\n\n\nTank Dogs salute! Every robbery in store, cause they know\n\n\n\n\n\n\nEverything Fiend know, mean mo' money mo'\n\n\nLittle Fiend still want the greens, the cornbread and the cabbage\n\n\nIn your hood, remindin you bitches of who the baddest\n\n\nDefinitely the maddest, so the crime gon' stick em up\n\n\nMy UNGGGGGGH went twice (ungh, ungh)\n\n\nAnd ended with nine, get em\n\n\n\n\n\n[Master P & No Limit]\n\n\nMake em say UNGGGGGGH (UNGGGGGGH)\n\n\nNa-nah na-nah (na-nah na-nah)\n\n\n\n\n\n[Silkk the Shocker]\n\n\nP gon' make ya say UNGGGGGGH, I'mma make you say OWWWWWWWW\n\n\nI'm not Eric B. but guaranteed to move this motherfuckin crowd\n\n\n\n\n\n\nI stay on like light switches, money, cause I like riches\n\n\nHittin nothin but tight bitches, call me, I might hit ya\n\n\nNigga make em say nah-nah-nah, don't trip\n\n\nAfter I bust yo' shit, then after that say na-nah-nah-nah\n\n\nI hang with niggas, I do my thang with niggas (unggggh)\n\n\nThey wanna know if I gangbang, cause I hang with a whole gang of niggas\n\n\nSo when, we connect bitch better respect this, I step quick\n\n\nCause I got a, vicious right hand but ya know what? My left is quick too!\n\n\nSilkk, you the type of nigga that promotes violence? You might be right\n\n\nCause I'll step in the club and say somethin\n\n\n\n\n\n\nTo get that motherfucker start to, fightin!! (Bout it!!)\n\n\nBad as Vogues, I'm cold, extra see through\n\n\nBe G's fuckin knockin niggas cause I make em all see 3-D\n\n\nAnd P-D's the game that I spit, No Limit Soldiers got my back\n\n\nI run this motherfucker, TRU niggas\n\n\nAnd I betcha I'll make yall stay back!\n\n\n\n\n\n[Master P & No Limit]\n\n\nMake em say UNGGGGGGH (UNGGGGGGH)\n\n\nNa-nah na-nah (na-nah na-nah)\n\n\n\n\n\n[Mia X]\n\n\nWe capitalize and monopolize on everything we see keep pistols drawed\n\n\nAnd cocked, we got the industry locked, we can't be stopped, too hot\n\n\n\n\n\n\nCheck the spots that we got, on Billboard\n\n\nThis Tank can set up roadblocks, we fadin all you hoes\n\n\nWant some mo? Then let's go, stretch you out like elastic\n\n\nZip that ass up in plastic, have ya folks pickin caskets\n\n\nWe drastic, our tactics is homegrown in the ghetto\n\n\nSo feel the wrath of this sista, it's like you fightin 10 niggas\n\n\nForget the baby boys, it's the biggest mamma Mia\n\n\nThe Unlady Like diva, lyrical man eater, believe her\n\n\nOr see her, and get that ass embarrassed\n\n\nIf you're a decision maker, guaranteed you'll get carried away\n\n\nSo stay in yo' place, when ya hear mamma speakin\n\n\n\n\n\n\nCannon spray, clear the way, when ya see The Tank creepin\n\n\n\n\n\n[Master P & No Limit]\n\n\nMake em say UNGGGGGGH (UNGGGGGGH)\n\n\nNa-nah na-nah (na-nah na-nah)\n\n\n\n\n\n[Mystikal]\n\n\nI'm that nigga that rappers look up to when they won't know how to do it\n\n\nUsed to be the little bitty skinny motherfucker with the braids in his hair\n\n\nUsed to live on Tchoupitoulas\n\n\nI done paid my dues, but still played the blues\n\n\nNigga play me like you was scared to lose\n\n\nI'm still a fool, you ain't heard the news\n\n\nI was a No Limit nigga, makin major moves\n\n\nI won't stop now, bitch, I can't stop\n\n\n\n\n\n\nYou can't stop me, so bitch don't try we\n\n\nWe TRU soldiers, we don't die\n\n\nWe keep rollin, na-nah-nah-nah-nah\n\n\nAll aboard, bitch could get barely inside\n\n\nThe Riverboat Hallelujah\n\n\nNiggas goin to war, got to fightin and shootin inside Rumors\n\n\nBitches be sayin he there, we there, BEWARE!!!\n\n\nC there, Silkk there Fiend there, Mamma there, P there\n\n\nAin't no salary cap, on top of my dollars\n\n\nI roll with nothin, but them No Limit riders\n\n\nI gets down nigga, I hold my tank up high\n\n\nWatch how many bitches get wild, na-nah na-nah"
23,Everclear, “I Will Buy You a New Life”,
24,Kahimi Karie, “Watashi No Jinsei,
25,PJ Harvey, “Is This Desire?”,"Is This Desire? par PJ Harvey\nJoseph walked on and on the sunset\n\n\nWent down and down coldness\n\n\nCooled their desire and Dawn said\n\n\n\""Let's build a fire\""\n\n\n\n\n\nThe sun dressed the trees in green\n\n\nAnd Joe said\n\n\n\""Dawn I feel like a king\""\n\n\nAnd Dawn's neck and her feet were bare\n\n\nSweetness in her golden hair\n\n\n\n\n\nSaid \""I'm not scared\"" \n\n\nTurned to her and smiled\n\n\nSecrets in his eyes\n\n\nSweetness of desire\n\n\n\n\n\n\n\n\n\nIs this desire, enough enough\n\n\nTo lift us higher, to lift above ?\n\n\n\n\n\nHour long\n\n\nBy hour, may we two stand\n\n\nWhen we're dead, between these lands\n\n\nThe sun set behind his eyes\n\n\nAnd Joe said : \""Is this desire\""\n\n\n\n\n\nIs this desire, enough enough\n\n\nTo lift us higher, to lift above ?\n\n\n\n\n\nIs this desire, enough enough\n\n\nEnough inside, is this desire ?"
26,Deborah Cox, “Nobody’s Supposed to Be Here”,
27,Quickspace, “Hadid”,
28,All Saints, “Never Ever”,"Never Ever par All Saints\nA few questions that I need to know\n\n\nHow you could ever hurt me so\n\n\nI need to know what I've done wrong\n\n\nAnd how long it's been going on\n\n\nWas it that i never paid enough attention\n\n\nOr did I not give enough affection\n\n\nNot only will your answers keep me sane\n\n\nBut I'll know never to make the same mistake again\n\n\nYou can tell me to my face\n\n\nOr even on the phone,\n\n\nYou can write it in a letter\n\n\nEither way I have to know\n\n\nDid I never treat you right\n\n\nDid I always start the fight\n\n\nEither way I'm going out of my mind\n\n\n\n\n\n\nAll the answers to my questions I have to find\n\n\n\n\n\nMy head's spinnin'\n\n\nBoy I'm in a daze\n\n\nI feel isolated\n\n\nDon't wanna communicate\n\n\nI take a shower\n\n\nI will scour\n\n\nI will run\n\n\nFind peace of mind\n\n\nThe happy mind\n\n\nI once owned, yeah\n\n\n\n\n\nFlexing vocabulary runs right through me\n\n\nThe alphabet runs right from A to Z\n\n\nConversations, hesitations in my mind\n\n\nYou got my conscience asking questions that I can't find\n\n\n\n\n\n\nI'm not crazy\n\n\nI'm sure I ain't done nothing wrong, no\n\n\nI'm just waiting,\n\n\n'Cause I heard that this feeling won't last that long\n\n\n\n\n\n(x3)\n\n\nNever ever have I ever felt so low\n\n\nWhen you gonna take me out of this black hole\n\n\nNever ever have I ever felt so sad\n\n\nThe way I'm feeling yeah you got me feeling really bad\n\n\nNever ever have I had to find\n\n\nI've had to dig away to find my own peace of mind\n\n\nI've never ever had my conscience to fight\n\n\nThe way I'm feeling yeah it just don't feel right\n\n\n\n\n\nI'll keep searching\n\n\n\n\n\n\nDeep within my soul\n\n\nFor all the answers\n\n\nDon't wanna hurt no more\n\n\nI need peace gotta feel at ease\n\n\nNeed to be\n\n\nFree from pain\n\n\nGoing insane\n\n\nMy heart aches yeah\n\n\n\n\n\nSometimes vocabulary runs through my head\n\n\nThe alphabet runs right from A to Zed\n\n\nConversations, hesitations in my mind\n\n\nYou got my conscience asking questions that I can't find\n\n\nI'm not crazy\n\n\nI'm sure I ain't done, nothing wrong\n\n\nNow I'ma just awaiting,\n\n\n'Cause I heard that this feeling won't last that long\n\n\n\n\n\n\n\n\n\n(x3)\n\n\nNever ever have I ever felt so low\n\n\nWhen you gonna take me out of this black hole\n\n\nNever ever have I ever felt so sad\n\n\nThe way I'm feeling yeah you got me feeling really bad\n\n\nNever ever have I had to find\n\n\nI've had to dig away to find my own peace of mind\n\n\nI've never ever had my conscience to fight\n\n\nThe way I'm feeling yeah it just don't feel right\n\n\n\n\n\nYou can tell me to my face\n\n\nYou can tell me on the phone\n\n\nOoh you can write it in a letter babe\n\n\n'Cause I really need to know\n\n\nYou can tell me to my face\n\n\nyou can tell me on the phone\n\n\n\n\n\n\nOoh you can write it in a letter babe\n\n\n'Cause I really need to know\n\n\nYou can write it in a letter babe\n\n\nYou can write it in a letter babe"
29,Liz Phair, “Johnny Feelgood”,"Johnny Feelgood par Liz Phair\nJohnny feel good, Johnny right on\n\nJohnny miss you, Johnny light on\n\nJohnny makes me feel strangely good about myself\n\nModeration is a memory\n\nDive right in and let him send me\n\nI could take this in doses large enough to kill\n\nAnd I never met a man who was so pretty inside\n\nHe's got diamonds on the bed of his thumbnails and I\n\nNever realized I was so dirty and dry\n\nTill he knocked me down, started dragging me around\n\nIn the back of his convertible car\n\nAnd I liked it, let me tell you I liked it more and more\n\nCrimson and clover, soon he's taken over, all my senses now\n\n\n\n\n\nAnd I never met a man who was so pretty inside\n\nHe's got petals on the bed of his sweat sock drawer\n\nAnd who the fuck am I to criticize him\n\n'Cause I really need him now, in fact I'm kinda freaking out\n\nAnd I'm wondering where the hell you are\n\nJohnny feel good, Johnny right on\n\nJohnny miss you, Johnny light on\n\nJohnny makes me feel strangely good about myself\n\nAnd I've never met a man I was so crazy about\n\nIt kinda has become an obsession to me\n\nI hate him all the time but I still get up\n\nWhen he knocks me down and he orders me around\n\n'Cause it loosens me up and I can't get enough\n\nAnd I'd pay to spend the night with him some more\n\nAnd I liked it, let me tell you I liked it more and more\n\n\n\n\n\nI liked it, I liked it, yeah, I really liked it\n\nI liked it, I really, really, really liked it\n\nI really liked it, I can't believe it"
30,Third Eye Blind, “Losing a Whole Year”,
31,Brandy, “Almost Doesn’t Count”,
32,The Gerbils, “Crayon Box”,
33,Mogwai, “Small Children in the Background”,
34,Backstreet Boys, “Everybody (Backstreet’s Back)”,
35,Silkk the Shocker, “It Ain’t My Fault”,
36,The Boredoms, “Super Shine”,
37,Hanson, “Weird”,"Weird par Hanson\nIsn't it weird. Isn't it strange.\n\n\nEven though we're just two strangers on this runaway train\n\n\nWe're both trying to find a place in the sun\n\n\nWe've lived in the shadows, but doesn't everyone\n\n\nIsn't it strange how we all feel a little bit weird sometimes\n\n\nIsn't it hard. Standing in the rain.\n\n\nYou're on the verge of going crazy and your heart's in pain\n\n\nNo one can hear though you're screaming so loud\n\n\nYou feel all alone in a faceless crowd\n\n\nIsn't it strange how we all get a little bit weird sometimes.\n\n\nSitting on the side waiting for a sign, hoping that my luck will change.\n\n\n\n\n\n\nReaching for a hand that can understand, someone who feels the same.\n\n\nWhen you live in a cookie cutter world being different is a sin.\n\n\nSo you don't stand out. But you don't fit in. Weird.\n\n\nSitting on the side waiting for a sign, hoping that my luck will change.\n\n\nReaching for a hand that can understand, someone who feels the same.\n\n\nWhen you live in a cookie cutter world if you're different you can't win.\n\n\nSo you don't stand out but you don't fit in. Weird.\n\n\nIsn't it strange how we all feel a little bit weird\n\n\nStrange, how we all get a little bit...\n\n\nStrange, 'cause we're all just a little bit weird sometimes."
38,Julie Ruin, “Radical or Pro-Parental”,
39,Buffalo Daughter, “Socks,
40,Lord Tariq & Peter Gunz, “Deja Vu (Uptown Baby)”,
41,Belle & Sebastian, “This Is Just a Modern Rock Song”,
42,Sheryl Crow, “My Favorite Mistake”,"My Favorite Mistake par Sheryl Crow\nI woke up and called this morning\n\n\nThe tone of your voice was a warning\n\n\nThat you don't care for me anymore\n\n\n\n\n\nI made up the bed we sleep in\n\n\nI looked at the clock when you creep in\n\n\nIt's 6 a.m. and I'm alone\n\n\n\n\n\n(Refrain:)\n\n\nDid you know when you go\n\n\nIt's the perfect ending\n\n\nTo the bad day I was just beginning\n\n\nWhen you go all I know is\n\n\nYou're my favorite mistake\n\n\n\n\n\nYour friends are sorry for me\n\n\n\n\n\n\nThey watch you pretend to adore me\n\n\nBut I'm no fool to this game\n\n\n\n\n\nNow here comes your secret lover\n\n\nShe'd be unlike any other\n\n\nUntil your guilt goes up in flames\n\n\n\n\n\n(Refrain:)\n\n\nDid you know when you go\n\n\nIt's the perfect ending\n\n\nTo the bad day I'd gotten used to spending\n\n\nWhen you go all I know is\n\n\nYou're my favorite mistake\n\n\n\n\n\nYou're my favorite mistake\n\n\n\n\n\nWell maybe nothin' lasts forever\n\n\nEven when you stay together\n\n\n\n\n\n\nI don't need forever after\n\n\nIt's your laughter won't let me go\n\n\nSo I'm holding on this way\n\n\n\n\n\nDid you know, could you tell\n\n\nYou were the only one\n\n\nThat I ever loved\n\n\nNow everything's so wrong\n\n\n\n\n\nDid you see me walking by?\n\n\nDid it ever make you cry?\n\n\n\n\n\nYou're my favorite mistake\n\n\nYou're my favorite mistake\n\n\nYou're my favorite mistake"
